Passenger_ID,Survived,Class,Name,Gender,Age (Years),Siblings_Spouse_On_Board,Parents_Childern_On_Board,Ticket,Fare (GBP),Cabin,Embarked
55,No,First,"Ostby, Mr. Engelhart Cornelius",Male,65,0,1,113509,61.9792,B30,Cherbourg
56,Yes,First,"Woolner, Mr. Hugh",Male,,0,0,19947,35.5,C52,Southampton
57,Yes,Second,"Rugg, Miss. Emily",Female,21,0,0,C.A. 31026,10.5,,Southampton
58,No,Third,"Novel, Mr. Mansouer",Male,28.5,0,0,2697,7.2292,,Cherbourg
59,Yes,Second,"West, Miss. Constance Mirium",Female,5,1,2,C.A. 34651,27.75,,Southampton
60,No,Third,"Goodwin, Master. William Frederick",Male,11,5,2,CA 2144,46.9,,Southampton
61,No,Third,"Sirayanian, Mr. Orsen",Male,22,0,0,2669,7.2292,,Cherbourg
62,Yes,First,"Icard, Miss. Amelie",Female,38,0,0,113572,80,B28,Queenstown
63,No,First,"Harris, Mr. Henry Birkhardt",Male,45,1,0,36973,83.475,C83,Southampton
64,No,Third,"Skoog, Master. Harald",Male,4,3,2,347088,27.9,,Southampton
65,No,First,"Stewart, Mr. Albert A",Male,,0,0,PC 17605,27.7208,,Cherbourg
66,Yes,Third,"Moubarek, Master. Gerios",Male,,1,1,2661,15.2458,,Cherbourg
67,Yes,Second,"Nye, Mrs. (Elizabeth Ramell)",Female,29,0,0,C.A. 29395,10.5,F33,Southampton
68,No,Third,"Crease, Mr. Ernest James",Male,19,0,0,S.P. 3464,8.1583,,Southampton
69,Yes,Third,"Andersson, Miss. Erna Alexandra",Female,17,4,2,3101281,7.925,,Southampton
70,No,Third,"Kink, Mr. Vincenz",Male,26,2,0,315151,8.6625,,Southampton
71,No,Second,"Jenkin, Mr. Stephen Curnow",Male,32,0,0,C.A. 33111,10.5,,Southampton
72,No,Third,"Goodwin, Miss. Lillian Amy",Female,16,5,2,CA 2144,46.9,,Southampton
73,No,Second,"Hood, Mr. Ambrose Jr",Male,21,0,0,S.O.C. 14879,73.5,,Southampton
74,No,Third,"Chronopoulos, Mr. Apostolos",Male,26,1,0,2680,14.4542,,Cherbourg
75,Yes,Third,"Bing, Mr. Lee",Male,32,0,0,1601,56.4958,,Southampton
76,No,Third,"Moen, Mr. Sigurd Hansen",Male,25,0,0,348123,7.65,F G73,Southampton
77,No,Third,"Staneff, Mr. Ivan",Male,,0,0,349208,7.8958,,Southampton
78,No,Third,"Moutal, Mr. Rahamin Haim",Male,,0,0,374746,8.05,,Southampton
79,Yes,Second,"Caldwell, Master. Alden Gates",Male,0.83,0,2,248738,29,,Southampton
80,Yes,Third,"Dowdell, Miss. Elizabeth",Female,30,0,0,364516,12.475,,Southampton
81,No,Third,"Waelens, Mr. Achille",Male,22,0,0,345767,9,,Southampton
82,Yes,Third,"Sheerlinck, Mr. Jan Baptist",Male,29,0,0,345779,9.5,,Southampton
83,Yes,Third,"McDermott, Miss. Brigdet Delia",Female,,0,0,330932,7.7875,,Queenstown
84,No,First,"Carrau, Mr. Francisco M",Male,28,0,0,113059,47.1,,Southampton
85,Yes,Second,"Ilett, Miss. Bertha",Female,17,0,0,SO/C 14885,10.5,,Southampton
86,Yes,Third,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",Female,33,3,0,3101278,15.85,,Southampton
87,No,Third,"Ford, Mr. William Neal",Male,16,1,3,W./C. 6608,34.375,,Southampton
88,No,Third,"Slocovski, Mr. Selman Francis",Male,,0,0,SOTON/OQ 392086,8.05,,Southampton
89,Yes,First,"Fortune, Miss. Mabel Helen",Female,23,3,2,19950,263,C23 C25 C27,Southampton
90,No,Third,"Celotti, Mr. Francesco",Male,24,0,0,343275,8.05,,Southampton
91,No,Third,"Christmann, Mr. Emil",Male,29,0,0,343276,8.05,,Southampton
92,No,Third,"Andreasson, Mr. Paul Edvin",Male,20,0,0,347466,7.8542,,Southampton
93,No,First,"Chaffee, Mr. Herbert Fuller",Male,46,1,0,W.E.P. 5734,61.175,E31,Southampton
94,No,Third,"Dean, Mr. Bertram Frank",Male,26,1,2,C.A. 2315,20.575,,Southampton
95,No,Third,"Coxon, Mr. Daniel",Male,59,0,0,364500,7.25,,Southampton
96,No,Third,"Shorney, Mr. Charles Joseph",Male,,0,0,374910,8.05,,Southampton
97,No,First,"Goldschmidt, Mr. George B",Male,71,0,0,PC 17754,34.6542,A5,Cherbourg
98,Yes,First,"Greenfield, Mr. William Bertram",Male,23,0,1,PC 17759,63.3583,D10 D12,Cherbourg
99,Yes,Second,"Doling, Mrs. John T (Ada Julia Bone)",Female,34,0,1,231919,23,,Southampton
100,No,Second,"Kantor, Mr. Sinai",Male,34,1,0,244367,26,,Southampton
101,No,Third,"Petranec, Miss. Matilda",Female,28,0,0,349245,7.8958,,Southampton
102,No,Third,"Petroff, Mr. Pastcho (""Pentcho"")",Male,,0,0,349215,7.8958,,Southampton
103,No,First,"White, Mr. Richard Frasar",Male,21,0,1,35281,77.2875,D26,Southampton
104,No,Third,"Johansson, Mr. Gustaf Joel",Male,33,0,0,7540,8.6542,,Southampton
105,No,Third,"Gustafsson, Mr. Anders Vilhelm",Male,37,2,0,3101276,7.925,,Southampton
106,No,Third,"Mionoff, Mr. Stoytcho",Male,28,0,0,349207,7.8958,,Southampton
107,Yes,Third,"Salkjelsvik, Miss. Anna Kristine",Female,21,0,0,343120,7.65,,Southampton
108,Yes,Third,"Moss, Mr. Albert Johan",Male,,0,0,312991,7.775,,Southampton
109,No,Third,"Rekic, Mr. Tido",Male,38,0,0,349249,7.8958,,Southampton
110,Yes,Third,"Moran, Miss. Bertha",Female,,1,0,371110,24.15,,Queenstown
111,No,First,"Porter, Mr. Walter Chamberlain",Male,47,0,0,110465,52,C110,Southampton
112,No,Third,"Zabour, Miss. Hileni",Female,14.5,1,0,2665,14.4542,,Cherbourg
113,No,Third,"Barton, Mr. David John",Male,22,0,0,324669,8.05,,Southampton
114,No,Third,"Jussila, Miss. Katriina",Female,20,1,0,4136,9.825,,Southampton
115,No,Third,"Attalah, Miss. Malake",Female,17,0,0,2627,14.4583,,Cherbourg
116,No,Third,"Pekoniemi, Mr. Edvard",Male,21,0,0,STON/O 2. 3101294,7.925,,Southampton
117,No,Third,"Connors, Mr. Patrick",Male,70.5,0,0,370369,7.75,,Queenstown
118,No,Second,"Turpin, Mr. William John Robert",Male,29,1,0,11668,21,,Southampton
119,No,First,"Baxter, Mr. Quigg Edmond",Male,24,0,1,PC 17558,247.5208,B58 B60,Cherbourg
120,No,Third,"Andersson, Miss. Ellis Anna Maria",Female,2,4,2,347082,31.275,,Southampton
121,No,Second,"Hickman, Mr. Stanley George",Male,21,2,0,S.O.C. 14879,73.5,,Southampton
122,No,Third,"Moore, Mr. Leonard Charles",Male,,0,0,A4. 54510,8.05,,Southampton
123,No,Second,"Nasser, Mr. Nicholas",Male,32.5,1,0,237736,30.0708,,Cherbourg
124,Yes,Second,"Webber, Miss. Susan",Female,32.5,0,0,27267,13,E101,Southampton
125,No,First,"White, Mr. Percival Wayland",Male,54,0,1,35281,77.2875,D26,Southampton
126,Yes,Third,"Nicola-Yarred, Master. Elias",Male,12,1,0,2651,11.2417,,Cherbourg
127,No,Third,"McMahon, Mr. Martin",Male,,0,0,370372,7.75,,Queenstown
128,Yes,Third,"Madsen, Mr. Fridtjof Arne",Male,24,0,0,C 17369,7.1417,,Southampton
129,Yes,Third,"Peter, Miss. Anna",Female,,1,1,2668,22.3583,F E69,Cherbourg
130,No,Third,"Ekstrom, Mr. Johan",Male,45,0,0,347061,6.975,,Southampton
131,No,Third,"Drazenoic, Mr. Jozef",Male,33,0,0,349241,7.8958,,Cherbourg
132,No,Third,"Coelho, Mr. Domingos Fernandeo",Male,20,0,0,SOTON/O.Q. 3101307,7.05,,Southampton
133,No,Third,"Robins, Mrs. Alexander A (Grace Charity Laury)",Female,47,1,0,A/5. 3337,14.5,,Southampton
134,Yes,Second,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",Female,29,1,0,228414,26,,Southampton
135,No,Second,"Sobey, Mr. Samuel James Hayden",Male,25,0,0,C.A. 29178,13,,Southampton
136,No,Second,"Richard, Mr. Emile",Male,23,0,0,SC/PARIS 2133,15.0458,,Cherbourg
137,Yes,First,"Newsom, Miss. Helen Monypeny",Female,19,0,2,11752,26.2833,D47,Southampton
138,No,First,"Futrelle, Mr. Jacques Heath",Male,37,1,0,113803,53.1,C123,Southampton
139,No,Third,"Osen, Mr. Olaf Elon",Male,16,0,0,7534,9.2167,,Southampton
140,No,First,"Giglio, Mr. Victor",Male,24,0,0,PC 17593,79.2,B86,Cherbourg
141,No,Third,"Boulos, Mrs. Joseph (Sultana)",Female,,0,2,2678,15.2458,,Cherbourg
142,Yes,Third,"Nysten, Miss. Anna Sofia",Female,22,0,0,347081,7.75,,Southampton
143,Yes,Third,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",Female,24,1,0,STON/O2. 3101279,15.85,,Southampton
144,No,Third,"Burke, Mr. Jeremiah",Male,19,0,0,365222,6.75,,Queenstown
145,No,Second,"Andrew, Mr. Edgardo Samuel",Male,18,0,0,231945,11.5,,Southampton
146,No,Second,"Nicholls, Mr. Joseph Charles",Male,19,1,1,C.A. 33112,36.75,,Southampton
147,Yes,Third,"Andersson, Mr. August Edvard (""Wennerstrom"")",Male,27,0,0,350043,7.7958,,Southampton
148,No,Third,"Ford, Miss. Robina Maggie ""Ruby""",Female,9,2,2,W./C. 6608,34.375,,Southampton
149,No,Second,"Navratil, Mr. Michel (""Louis M Hoffman"")",Male,36.5,0,2,230080,26,F2,Southampton
150,No,Second,"Byles, Rev. Thomas Roussel Davids",Male,42,0,0,244310,13,,Southampton
151,No,Second,"Bateman, Rev. Robert James",Male,51,0,0,S.O.P. 1166,12.525,,Southampton
152,Yes,First,"Pears, Mrs. Thomas (Edith Wearne)",Female,22,1,0,113776,66.6,C2,Southampton
153,No,Third,"Meo, Mr. Alfonzo",Male,55.5,0,0,A.5. 11206,8.05,,Southampton
154,No,Third,"van Billiard, Mr. Austin Blyler",Male,40.5,0,2,A/5. 851,14.5,,Southampton
155,No,Third,"Olsen, Mr. Ole Martin",Male,,0,0,Fa 265302,7.3125,,Southampton
156,No,First,"Williams, Mr. Charles Duane",Male,51,0,1,PC 17597,61.3792,,Cherbourg
157,Yes,Third,"Gilnagh, Miss. Katherine ""Katie""",Female,16,0,0,35851,7.7333,,Queenstown
158,No,Third,"Corn, Mr. Harry",Male,30,0,0,SOTON/OQ 392090,8.05,,Southampton
159,No,Third,"Smiljanic, Mr. Mile",Male,,0,0,315037,8.6625,,Southampton
160,No,Third,"Sage, Master. Thomas Henry",Male,,8,2,CA. 2343,69.55,,Southampton
161,No,Third,"Cribb, Mr. John Hatfield",Male,44,0,1,371362,16.1,,Southampton
162,Yes,Second,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",Female,40,0,0,C.A. 33595,15.75,,Southampton
163,No,Third,"Bengtsson, Mr. John Viktor",Male,26,0,0,347068,7.775,,Southampton
164,No,Third,"Calic, Mr. Jovo",Male,17,0,0,315093,8.6625,,Southampton
165,No,Third,"Panula, Master. Eino Viljami",Male,1,4,1,3101295,39.6875,,Southampton
166,Yes,Third,"Goldsmith, Master. Frank John William ""Frankie""",Male,9,0,2,363291,20.525,,Southampton
167,Yes,First,"Chibnall, Mrs. (Edith Martha Bowerman)",Female,,0,1,113505,55,E33,Southampton
168,No,Third,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",Female,45,1,4,347088,27.9,,Southampton
169,No,First,"Baumann, Mr. John D",Male,,0,0,PC 17318,25.925,,Southampton
170,No,Third,"Ling, Mr. Lee",Male,28,0,0,1601,56.4958,,Southampton
171,No,First,"Van der hoef, Mr. Wyckoff",Male,61,0,0,111240,33.5,B19,Southampton
172,No,Third,"Rice, Master. Arthur",Male,4,4,1,382652,29.125,,Queenstown
173,Yes,Third,"Johnson, Miss. Eleanor Ileen",Female,1,1,1,347742,11.1333,,Southampton
174,No,Third,"Sivola, Mr. Antti Wilhelm",Male,21,0,0,STON/O 2. 3101280,7.925,,Southampton
175,No,First,"Smith, Mr. James Clinch",Male,56,0,0,17764,30.6958,A7,Cherbourg
176,No,Third,"Klasen, Mr. Klas Albin",Male,18,1,1,350404,7.8542,,Southampton
177,No,Third,"Lefebre, Master. Henry Forbes",Male,,3,1,4133,25.4667,,Southampton
178,No,First,"Isham, Miss. Ann Elizabeth",Female,50,0,0,PC 17595,28.7125,C49,Cherbourg
179,No,Second,"Hale, Mr. Reginald",Male,30,0,0,250653,13,,Southampton
180,No,Third,"Leonard, Mr. Lionel",Male,36,0,0,LINE,0,,Southampton
181,No,Third,"Sage, Miss. Constance Gladys",Female,,8,2,CA. 2343,69.55,,Southampton
182,No,Second,"Pernot, Mr. Rene",Male,,0,0,SC/PARIS 2131,15.05,,Cherbourg
183,No,Third,"Asplund, Master. Clarence Gustaf Hugo",Male,9,4,2,347077,31.3875,,Southampton
184,Yes,Second,"Becker, Master. Richard F",Male,1,2,1,230136,39,F4,Southampton
185,Yes,Third,"Kink-Heilmann, Miss. Luise Gretchen",Female,4,0,2,315153,22.025,,Southampton
186,No,First,"Rood, Mr. Hugh Roscoe",Male,,0,0,113767,50,A32,Southampton
187,Yes,Third,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",Female,,1,0,370365,15.5,,Queenstown
188,Yes,First,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",Male,45,0,0,111428,26.55,,Southampton
189,No,Third,"Bourke, Mr. John",Male,40,1,1,364849,15.5,,Queenstown
190,No,Third,"Turcin, Mr. Stjepan",Male,36,0,0,349247,7.8958,,Southampton
191,Yes,Second,"Pinsky, Mrs. (Rosa)",Female,32,0,0,234604,13,,Southampton
192,No,Second,"Carbines, Mr. William",Male,19,0,0,28424,13,,Southampton
193,Yes,Third,"Andersen-Jensen, Miss. Carla Christine Nielsine",Female,19,1,0,350046,7.8542,,Southampton
194,Yes,Second,"Navratil, Master. Michel M",Male,3,1,1,230080,26,F2,Southampton
195,Yes,First,"Brown, Mrs. James Joseph (Margaret Tobin)",Female,44,0,0,PC 17610,27.7208,B4,Cherbourg
196,Yes,First,"Lurette, Miss. Elise",Female,58,0,0,PC 17569,146.5208,B80,Cherbourg
197,No,Third,"Mernagh, Mr. Robert",Male,,0,0,368703,7.75,,Queenstown
198,No,Third,"Olsen, Mr. Karl Siegwart Andreas",Male,42,0,1,4579,8.4042,,Southampton
199,Yes,Third,"Madigan, Miss. Margaret ""Maggie""",Female,,0,0,370370,7.75,,Queenstown
200,No,Second,"Yrois, Miss. Henriette (""Mrs Harbeck"")",Female,24,0,0,248747,13,,Southampton
201,No,Third,"Vande Walle, Mr. Nestor Cyriel",Male,28,0,0,345770,9.5,,Southampton
202,No,Third,"Sage, Mr. Frederick",Male,,8,2,CA. 2343,69.55,,Southampton
203,No,Third,"Johanson, Mr. Jakob Alfred",Male,34,0,0,3101264,6.4958,,Southampton
204,No,Third,"Youseff, Mr. Gerious",Male,45.5,0,0,2628,7.225,,Cherbourg
205,Yes,Third,"Cohen, Mr. Gurshon ""Gus""",Male,18,0,0,A/5 3540,8.05,,Southampton
206,No,Third,"Strom, Miss. Telma Matilda",Female,2,0,1,347054,10.4625,G6,Southampton
207,No,Third,"Backstrom, Mr. Karl Alfred",Male,32,1,0,3101278,15.85,,Southampton
208,Yes,Third,"Albimona, Mr. Nassef Cassem",Male,26,0,0,2699,18.7875,,Cherbourg
209,Yes,Third,"Carr, Miss. Helen ""Ellen""",Female,16,0,0,367231,7.75,,Queenstown
210,Yes,First,"Blank, Mr. Henry",Male,40,0,0,112277,31,A31,Cherbourg
211,No,Third,"Ali, Mr. Ahmed",Male,24,0,0,SOTON/O.Q. 3101311,7.05,,Southampton
212,Yes,Second,"Cameron, Miss. Clear Annie",Female,35,0,0,F.C.C. 13528,21,,Southampton
213,No,Third,"Perkin, Mr. John Henry",Male,22,0,0,A/5 21174,7.25,,Southampton
214,No,Second,"Givard, Mr. Hans Kristensen",Male,30,0,0,250646,13,,Southampton
215,No,Third,"Kiernan, Mr. Philip",Male,,1,0,367229,7.75,,Queenstown
216,Yes,First,"Newell, Miss. Madeleine",Female,31,1,0,35273,113.275,D36,Cherbourg
217,Yes,Third,"Honkanen, Miss. Eliina",Female,27,0,0,STON/O2. 3101283,7.925,,Southampton
218,No,Second,"Jacobsohn, Mr. Sidney Samuel",Male,42,1,0,243847,27,,Southampton
219,Yes,First,"Bazzani, Miss. Albina",Female,32,0,0,11813,76.2917,D15,Cherbourg
220,No,Second,"Harris, Mr. Walter",Male,30,0,0,W/C 14208,10.5,,Southampton
221,Yes,Third,"Sunderland, Mr. Victor Francis",Male,16,0,0,SOTON/OQ 392089,8.05,,Southampton
222,No,Second,"Bracken, Mr. James H",Male,27,0,0,220367,13,,Southampton
223,No,Third,"Green, Mr. George Henry",Male,51,0,0,21440,8.05,,Southampton
224,No,Third,"Nenkoff, Mr. Christo",Male,,0,0,349234,7.8958,,Southampton
225,Yes,First,"Hoyt, Mr. Frederick Maxfield",Male,38,1,0,19943,90,C93,Southampton
226,No,Third,"Berglund, Mr. Karl Ivar Sven",Male,22,0,0,PP 4348,9.35,,Southampton
227,Yes,Second,"Mellors, Mr. William John",Male,19,0,0,SW/PP 751,10.5,,Southampton
228,No,Third,"Lovell, Mr. John Hall (""Henry"")",Male,20.5,0,0,A/5 21173,7.25,,Southampton
229,No,Second,"Fahlstrom, Mr. Arne Jonas",Male,18,0,0,236171,13,,Southampton
230,No,Third,"Lefebre, Miss. Mathilde",Female,,3,1,4133,25.4667,,Southampton
231,Yes,First,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",Female,35,1,0,36973,83.475,C83,Southampton
232,No,Third,"Larsson, Mr. Bengt Edvin",Male,29,0,0,347067,7.775,,Southampton
233,No,Second,"Sjostedt, Mr. Ernst Adolf",Male,59,0,0,237442,13.5,,Southampton
234,Yes,Third,"Asplund, Miss. Lillian Gertrud",Female,5,4,2,347077,31.3875,,Southampton
235,No,Second,"Leyson, Mr. Robert William Norman",Male,24,0,0,C.A. 29566,10.5,,Southampton
236,No,Third,"Harknett, Miss. Alice Phoebe",Female,,0,0,W./C. 6609,7.55,,Southampton
237,No,Second,"Hold, Mr. Stephen",Male,44,1,0,26707,26,,Southampton
238,Yes,Second,"Collyer, Miss. Marjorie ""Lottie""",Female,8,0,2,C.A. 31921,26.25,,Southampton
239,No,Second,"Pengelly, Mr. Frederick William",Male,19,0,0,28665,10.5,,Southampton
240,No,Second,"Hunt, Mr. George Henry",Male,33,0,0,SCO/W 1585,12.275,,Southampton
241,No,Third,"Zabour, Miss. Thamine",Female,,1,0,2665,14.4542,,Cherbourg
242,Yes,Third,"Murphy, Miss. Katherine ""Kate""",Female,,1,0,367230,15.5,,Queenstown
243,No,Second,"Coleridge, Mr. Reginald Charles",Male,29,0,0,W./C. 14263,10.5,,Southampton
244,No,Third,"Maenpaa, Mr. Matti Alexanteri",Male,22,0,0,STON/O 2. 3101275,7.125,,Southampton
245,No,Third,"Attalah, Mr. Sleiman",Male,30,0,0,2694,7.225,,Cherbourg
246,No,First,"Minahan, Dr. William Edward",Male,44,2,0,19928,90,C78,Queenstown
247,No,Third,"Lindahl, Miss. Agda Thorilda Viktoria",Female,25,0,0,347071,7.775,,Southampton
248,Yes,Second,"Hamalainen, Mrs. William (Anna)",Female,24,0,2,250649,14.5,,Southampton
249,Yes,First,"Beckwith, Mr. Richard Leonard",Male,37,1,1,11751,52.5542,D35,Southampton
250,No,Second,"Carter, Rev. Ernest Courtenay",Male,54,1,0,244252,26,,Southampton
251,No,Third,"Reed, Mr. James George",Male,,0,0,362316,7.25,,Southampton
252,No,Third,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",Female,29,1,1,347054,10.4625,G6,Southampton
253,No,First,"Stead, Mr. William Thomas",Male,62,0,0,113514,26.55,C87,Southampton
254,No,Third,"Lobb, Mr. William Arthur",Male,30,1,0,A/5. 3336,16.1,,Southampton
255,No,Third,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",Female,41,0,2,370129,20.2125,,Southampton
256,Yes,Third,"Touma, Mrs. Darwis (Hanne Youssef Razi)",Female,29,0,2,2650,15.2458,,Cherbourg
257,Yes,First,"Thorne, Mrs. Gertrude Maybelle",Female,,0,0,PC 17585,79.2,,Cherbourg
258,Yes,First,"Cherry, Miss. Gladys",Female,30,0,0,110152,86.5,B77,Southampton
259,Yes,First,"Ward, Miss. Anna",Female,35,0,0,PC 17755,512.3292,,Cherbourg
260,Yes,Second,"Parrish, Mrs. (Lutie Davis)",Female,50,0,1,230433,26,,Southampton
261,No,Third,"Smith, Mr. Thomas",Male,,0,0,384461,7.75,,Queenstown
262,Yes,Third,"Asplund, Master. Edvin Rojj Felix",Male,3,4,2,347077,31.3875,,Southampton
263,No,First,"Taussig, Mr. Emil",Male,52,1,1,110413,79.65,E67,Southampton
264,No,First,"Harrison, Mr. William",Male,40,0,0,112059,0,B94,Southampton
265,No,Third,"Henry, Miss. Delia",Female,,0,0,382649,7.75,,Queenstown
266,No,Second,"Reeves, Mr. David",Male,36,0,0,C.A. 17248,10.5,,Southampton
267,No,Third,"Panula, Mr. Ernesti Arvid",Male,16,4,1,3101295,39.6875,,Southampton
268,Yes,Third,"Persson, Mr. Ernst Ulrik",Male,25,1,0,347083,7.775,,Southampton
269,Yes,First,"Graham, Mrs. William Thompson (Edith Junkins)",Female,58,0,1,PC 17582,153.4625,C125,Southampton
270,Yes,First,"Bissette, Miss. Amelia",Female,35,0,0,PC 17760,135.6333,C99,Southampton
271,No,First,"Cairns, Mr. Alexander",Male,,0,0,113798,31,,Southampton
272,Yes,Third,"Tornquist, Mr. William Henry",Male,25,0,0,LINE,0,,Southampton
273,Yes,Second,"Mellinger, Mrs. (Elizabeth Anne Maidment)",Female,41,0,1,250644,19.5,,Southampton
